"ID Produit Sellsy";Catégorie;Unité;"Tarif -20%";"Tarif -35%";"Tarif -40%";"Tarif 10%";"Tarif plein";Référence;"Nom commercial";"Prix référence HT";Description; lien; image
1107;PLATAPIS;PIECE;90,31;73,38;67,73;101,60;112,89;HYPERGRAT508020;"HYPERGRAT NOIR - 50x80cm - Ep.22mm";112,89;
1108;LOGO;m2;625,54;508,25;469,15;703,73;781,92;LOGOBRUSH2CSMAB;"TAPIS LOGOBRUSH 2 COULEURS SUR MESURE AVEC BORDURES";781,92;
1109;LOGO;m2;625,54;508,25;469,15;703,73;781,92;LOGOBRUSH2CSMSB;"TAPIS LOGOBRUSH 2 COULEURS SUR MESURE SANS BORDURES";781,92;
110;PLARLX;m2;96,12;78,10;72,09;108,14;120,15;EHA88LG10;"EHA 88 ROULEAU - Larg. standard - Long.10m - Ep.12mm - au m2";120,15;
1110;LOGO;m2;522,62;424,63;391,96;587,94;653,27;LOGOBRUSH2CSTAB;"TAPIS LOGOBRUSH 2 COULEURS STANDARD AVEC BORDURES";653,27;
1111;LOGO;m2;728,38;591,81;546,28;819,42;910,47;LOGOBRUSH2CSMABM;"TAPIS LOGOBRUSH 2 COULEURS SUR MESURE AVEC BORDURES MAXI TAPIS";910,47;
1112;LOGO;m2;728,38;591,81;546,28;819,42;910,47;LOGOBRUSH2CSMSBM;"TAPIS LOGOBRUSH 2 COULEURS SUR MESURE SANS BORDURES MAXI TAPIS";910,47;
1113;LOGO;m2;169,14;137,42;126,85;190,28;211,42;LOGOBRUSHUNSTAB;"TAPIS LOGOBRUSH UNI STANDARD AVEC BORDURES";211,42;
1114;LOGO;m2;449,94;365,58;337,46;506,19;562,43;LOGOBRUSHUNSMAB;"TAPIS LOGOBRUSH UNI SUR MESURE AVEC BORDURES";562,43;
1115;LOGO;m2;449,94;365,58;337,46;506,19;562,43;LOGOBRUSHUNSMSB;"TAPIS LOGOBRUSH UNI SUR MESURE SANS BORDURES";562,43;
1116;LOGO;m2;517,72;420,65;388,29;582,44;647,15;LOGOBRUSHUNSMABM;"TAPIS LOGOBRUSH UNI SUR MESURE AVEC BORDURES MAXI TAPIS";647,15;
1117;LOGO;m2;517,72;420,65;388,29;582,44;647,15;LOGOBRUSHUNSMSBM;"TAPIS LOGOBRUSH UNI SUR MESURE SANS BORDURES MAXI TAPIS";647,15;
1118;CCRLX;m2;57,46;46,68;43,09;64,64;71,82;IDS10T180NEW;"IDS10 ROULEAU TOILE NEW - 1.80x30m - Ep.10mm";71,82;
1119;CCRLX;m2;12,61;10,24;9,46;14,18;15,76;FINES100NMN20M;"FINES STRIES ROULEAU NOIR - 1x20m - Ep.3mm - au m2";15,76;
111;PLARLX;m2;119,99;97,49;89,99;134,99;149,99;EHA88LGSPEC;"EHA 88 ROULEAU - Larg standard - Long.";149,99;
1120;CCRLX;m2;55,54;45,12;41,65;62,48;69,42;MB46RL1.80;"MB46 ROULEAU - 1.80x10m - Ep.14.5mm";69,42;
1121;PLATAPIS;m2;25,16;20,44;18,87;28,31;31,45;IDSGREENP40060040;"IDS GREEN DALLE SPECIALE PENTE -395x600mm - Ep.40mm - au m2";31,45;
1122;CCRLX;m2;57,46;46,68;43,09;64,64;71,82;IDS10T247NEW;"IDS10 ROULEAU TOILE NEW - 2.47x50m - Ep.10mm";71,82;
1123;CCTAPIS;PIECE;62,74;50,97;47,05;70,58;78,42;MOUSLTX100X175D280;"MOUSSE LATEX EU - D280KG - 100x175cm - Ep.40mm";78,42;
